subject_id	subject_label	subject_type	subject_category	predicate_id	object_id	object_type	object_category	object_label	comment	author_id	mapping_provider	mapping_date
dwc:eventID	Event ID	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:eventID	rdf property	dwc:Occurrence	Event ID	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:organismQuantity	Organism Quantity	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:organismQuantity	rdf property	dwc:Occurrence	Organism Quantity	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:organismQuantityType	Organism Quantity Type	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:organismQuantityType	rdf property	dwc:Occurrence	Organism Quantity Type	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:sex	Sex	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:sex	rdf property	dwc:Occurrence	Sex	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:lifeStage	Life Stage	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:lifeStage	rdf property	dwc:Occurrence	Life Stage	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:reproductiveCondition	Reproductive Condition	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:reproductiveCondition	rdf property	dwc:Occurrence	Reproductive Condition	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:behavior	Behavior	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:behavior	rdf property	dwc:Occurrence	Behavior	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:vitality	Vitality	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:vitality	rdf property	dwc:Occurrence	Vitality	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:establishmentMeans	Establishment Means	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:establishmentMeans	rdf property	dwc:Occurrence	Establishment Means	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:degreeOfEstablishment	Degree Of Establishment	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:degreeOfEstablishment	rdf property	dwc:Occurrence	Degree Of Establishment	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:pathway	Pathway	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:pathway	rdf property	dwc:Occurrence	Pathway	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:organismID	Organism ID	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:organismID	rdf property	dwc:Occurrence	Organism ID	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:organismName	Organism Name	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:organismName	rdf property	dwc:Occurrence	Organism Name	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:organismRemarks	Organism Remarks	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:organismRemarks	rdf property	dwc:Occurrence	Organism Remarks	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:organismScope	Organism Scope	rdf property	ods:Event	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:organismScope	rdf property	dwc:Occurrence	Organism Scope	Only takes first event (assumed to be collecting event)	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
ods:physicalSpecimenID	Physical Specimen ID	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:materialEntityID	rdf property	dwc:Material	Material Entity ID	This openDS field is filled with the identifier which uniquely described the specimen.	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dcterms:identifier	Identifier	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:digitalSpecimenID	rdf property	dwc:Material	Digital Specimen ID		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
ods:topicDiscipline	Topic Discipline	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:discipline	rdf property	dwc:Material	Discipline		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
ods:organisationID	Organisation ID	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:institutionID	rdf property	dwc:Material	Institution ID		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
ods:organisationCode	Organisation Code	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:institutionCode	rdf property	dwc:Material	Institution Code		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
ods:ownerOrganisationCode	Owener Organisation Code	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:ownerInstitutionCode	rdf property	dwc:Material	Owner Institution Code		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:collectionCode	Collection Code	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:collectionCode	rdf property	dwc:Material	Collection Code		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:collectionID	Collection ID	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:collectionID	rdf property	dwc:Material	Collection ID		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:preparations	Prepartions	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:preparations	rdf property	dwc:Material	Preparations		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:disposition	Disposition	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:disposition	rdf property	dwc:Material	Disposition		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dcterms:identifier	Identifier	rdf property	ods:Identifier	http://www.w3.org/2004/02/skos/core#narrowMatch	dwc:catalogNumber	rdf property	dwc:Material	Catalog Number	"Checks for identifier type ""dwc:catalogNumber"" or ""abcd:unitID"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
