subject_id	subject_label	subject_type	subject_category	predicate_id	object_id	object_label	object_type	object_category	Comment	author_id	mapping_provider	mapping_date
dwc:decimalLatitude	Decimal Latitude	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/siteCoordinateSets/siteCoordinates/0/coordinatesLatLong/latitudeDecimal	Latitude Decimal	rdf property	CoordinatesLatLong	Only takes first set of coordinates	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:decimalLongitude	Decimal Longitude	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/siteCoordinateSets/siteCoordinates/0/coordinatesLatLong/longitudeDecimal	Longitude Decimal	rdf property	CoordinatesLatLong	Only takes first set of coordinates	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:verbatimCoordinateSystem	Verbatim Coordinate System	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#broadMatch	abcd:gathering/siteCoordinateSets/siteCoordinates/0/coordinatesGrid/gridCellSystem	Grid Cell System	rdf property	CoordinatesLatLong		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:geodeticDatum	Geodetic Datum	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/siteCoordinateSets/siteCoordinates/0/coordinatesLatLong/spatialDatum	Spatial Datum	rdf property	CoordinatesLatLong		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:coordinateUncertaintyInMeters	Coordinate Uncertainty In Meters	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	abcd:gathering/siteCoordinateSets/siteCoordinates/0/coordinatesLatLong/coordinateErrorDistanceInMeters	Coordinate Error Distance In Meters	rdf property	CoordinatesLatLong		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:coordinatePrecision	Coordinate Precision	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#narrowMatch	abcd:gathering/siteCoordinateSets/siteCoordinates/0/coordinatesLatLong/iSOAccuracy	I Soaccuracy	rdf property	CoordinatesLatLong	Unclear if this ABCD term is still present (does look to be in use in ABCD 2.06	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:coordinatePrecision	Coordinate Precision	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#narrowMatch	abcd:gathering/siteCoordinateSets/siteCoordinates/0/coordinatesLatLong/accuracyStatement	Accuracy Statement	rdf property	CoordinatesLatLong		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:GeoreferenceProtocol	Georeference Protocol	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#narrowMatch	abcd:gathering/siteCoordinateSets/siteCoordinates/0/coordinateMethod	Coordinate Method	rdf property	CoordinatesLatLong		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:latestEonOrHighestEonothem	Latest Eon Or Highest Eonothem	rdf property	ods:GeologicalContext	http://www.w3.org/2004/02/skos/core#exactMatch	abcd-efg:earthScienceSpecimen/unitStratigraphicDetermination/chronostratigraphicAttributions/chronostratigraphicAttribution/*/chronostratigraphicName	Chronostratigraphic Name	rdf property	ChronostratigraphicAttribution	"First hit when abcd-efg:earthScienceSpecimen/unitStratigraphicDetermination/chronostratigraphicAttributions/chronostratigraphicAttribution/*/chronoStratigraphicDivision is ""Eonothem"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:earliestEraOrLowestErathem	Earliest Era Or Lowest Erathem	rdf property	ods:GeologicalContext	http://www.w3.org/2004/02/skos/core#exactMatch	abcd-efg:earthScienceSpecimen/unitStratigraphicDetermination/chronostratigraphicAttributions/chronostratigraphicAttribution/*/chronostratigraphicName	Chronostratigraphic Name	rdf property	ChronostratigraphicAttribution	"First hit when abcd-efg:earthScienceSpecimen/unitStratigraphicDetermination/chronostratigraphicAttributions/chronostratigraphicAttribution/*/chronoStratigraphicDivision is ""Erathem"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
