subject_id	subject_label	subject_type	subject_category	predicate_id	object_id	object_label	object_type	object_category	Comment	author_id	mapping_provider	mapping_date
dwc:verbatimLongitude	Verbatim Longitude	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:verbatimLongitude	Verbatim Longitude	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:verbatimCoordinateSystem	Verbatim Coordinate System	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:verbatimCoordinateSystem	Verbatim Coordinate System	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:geodeticDatum	Geodetic Datum	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:geodeticDatum	Geodetic Datum	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:coordinateUncertaintyInMeters	Coordinate Uncertainty In Meters	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:coordinateUncertaintyInMeters	Coordinate Uncertainty In Meters	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:coordinatePrecision	Coordinate Precision	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:coordinatePrecision	Coordinate Precision	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:pointRadiusSpatialFit	Point Radius Spatial Fit	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:pointRadiusSpatialFit	Point Radius Spatial Fit	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:footprintWKT	Footprint WKT	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:footprintWKT	Footprint WKT	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:footprintSRS	Footprint SRS	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:footprintSRS	Footprint SRS	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:verbatimSRS	Verbatim SRS	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:verbatimSRS	Verbatim SRS	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:footprintSpatialFit	Footprint Spatial Fit	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:footprintSpatialFit	Footprint Spatial Fit	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:GeoreferencedDate	Georeferenced Date	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:GeoreferencedDate	Georeferenced Date	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:GeoreferenceProtocol	Georeference Protocol	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:GeoreferenceProtocol	Georeference Protocol	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:GeoreferenceSources	Georeference Sources	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:GeoreferenceSources	Georeference Sources	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:GeoreferenceRemarks	Georeference Remarks	rdf property	ods:Georeference	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:GeoreferenceRemarks	Georeference Remarks	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:earliestEonOrLowestEonothem	Earliest Eon Or Lowest Eonothem	rdf property	ods:GeologicalContext	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:earliestEonOrLowestEonothem	Earliest Eon Or Lowest Eonothem	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:latestEonOrHighestEonothem	Latest Eon Or Highest Eonothem	rdf property	ods:GeologicalContext	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:latestEonOrHighestEonothem	Latest Eon Or Highest Eonothem	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:earliestEraOrLowestErathem	Earliest Era Or Lowest Erathem	rdf property	ods:GeologicalContext	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:earliestEraOrLowestErathem	Earliest Era Or Lowest Erathem	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:latestEraOrHighestErathem	Latest Era Or Highest Erathem	rdf property	ods:GeologicalContext	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:latestEraOrHighestErathem	Latest Era Or Highest Erathem	rdf property	http://rs.tdwg.org/dwc/terms/Occurrence		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
